,Positioning,Quad,Single_1,4G bands,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,GPRS,3G bands,CPU,OS,USB,Audio quality,2G bands,Battery (old),Announced,Performance,Internal,Chipset,GPU,Status,3.5mm jack,Price,Triple,Music play,5G bands,Features_1,Build,NFC,_3,EDGE,_2,Model Name,SIM,Brand,Display,Type,Camera,Technology,Size,Model Image,Weight,Infrared port,Colors,Loudspeaker_1,Resolution,Protection,Speed,Sensors,Models,Radio,Bluetooth,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,,"1, 3, 5, 8, 34, 38, 39, 40, 41",,1080p@30fps,18W wired,1080p@30fps,,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 2100,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"Android 9.0 (Pie), Flyme 7.2",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2019, March",,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",Qualcomm SDM675 Snapdragon 675 (11 nm),Adreno 612,"Available. Released 2019, March",Yes,About 200 EUR,,,,,,No,,,,Meizu Note 9,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / LTE,"6.2 inches, 96.4 cm2(~84.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-note-9.jpg,170 g (6.00 oz),,"Black, White, Starlight Blue",,"1080 x 2244 pixels, 18.7:9 ratio (~403 ppi density)",,"HSPA, LTE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","Dual-LED dual-tone flash, panorama",153.1 x 74.4 x 8.7 mm (6.03 x 2.93 x 0.34 in),No,Yes,"Li-Ion 4000 mAh, non-removable","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",
CDMA 800 & TD-SCDMA,"GPS, GLONASS",,,"1, 3, 5, 8, 34, 38, 39, 40, 41",,"4K@30fps, 1080p@30fps",18W wireless,1080p@30fps,IP68,"12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55µm, PDAF20 MP, PDAF","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 2100,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Android 9.0 (Pie),No,,GSM 850 / 900 / 1800 / 1900,,"2019, January",,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Qualcomm SDM845 Snapdragon 845 (10 nm),Adreno 630,Cancelled,No,,,,,,"Glass front, ceramic back, ceramic frame",Yes,,,,Meizu Zero,eSIM,Meizu,,AMOLED,,GSM / CDMA / HSPA / LTE,"5.99 inches, 88.1 cm2",https://fdn2.gsmarena.com/vv/bigpic/meizu-zero-.jpg,-,,"Black, White",,"1080 x 2340 pixels, 19.5:9 ratio (~430 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (4CA) Cat16 1024/150 Mbps","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","Dual-LED dual-tone flash, panorama",-,No,Yes,"Li-Ion, non-removable","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",
,"GPS, GLONASS",,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm","1, 2, 3, 5, 7, 8, 40",,1080p@30fps,,,,,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A53,"Android 8.0 (Oreo), Flyme UI",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, December",,32GB 3GB RAM,Unisoc SC9832E,Mali-820MP1,"Available. Released 2018, December",Yes,About 110 EUR,,,,,,No,,,,Meizu C9 Pro,Nano-SIM + Nano-SIM,Meizu,,IGZO IPS LCD,,GSM / HSPA / LTE,"5.45 inches, 76.7 cm2(~73.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-c9-pro.jpg,150 g (5.29 oz),,"Black, Gold",,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,"HSPA, LTE","Accelerometer, proximity, compass",,No,"4.1, A2DP, LE","LED flash, panorama",146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in),microSDXC,Yes,"Li-Ion 3000 mAh, removable","13 MP, f/2.2, 1/3.1"", 1.12µm, AF",
,"GPS, GLONASS",,"8 MP, f/2.2, 1/4.0"", 1.12µm","1, 2, 3, 5, 8, 40",,1080p@30fps,,,,,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A53,"Android 8.0 (Oreo), Flyme UI",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, December",,16GB 2GB RAM,Unisoc SC9832E,Mali-820MP1,"Available. Released 2018, December",Yes,About 90 EUR,,,,,,No,,,,Meizu C9,Nano-SIM + Nano-SIM,Meizu,,IGZO IPS LCD,,GSM / HSPA / LTE,"5.45 inches, 76.7 cm2(~73.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-c9.jpg,150 g (5.29 oz),,"Black, Blue",,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,"HSPA, LTE","Accelerometer, proximity, compass",C9,No,"4.1, A2DP, LE","LED flash, panorama",146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in),microSDXC (dedicated slot),Yes,"Li-Ion 3000 mAh, removable","13 MP, f/2.2, 1/3.1"", 1.12µm, AF",
CDMA 800 & TD-SCDMA - China,"GPS, GLONASS, BDS",,,"1, 3, 5, 38, 39, 40, 41 - China",,1080p@30fps,24W wired,,eMMC 5.1,"12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF5 MP, f/2.4, (depth)","Wi-Fi 802.11 а/b/g/n, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 2100 - China,Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),"Android 8.0 (Oreo), Flyme 7.3",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, October",,64GB 4GB RAM,Qualcomm SDM632 Snapdragon 632 (14 nm),Adreno 506,"Available. Released 2018, November",Yes,About 200 EUR,,,,,,No,,,,Meizu Note 8,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / LTE,"6.0 inches, 92.9 cm2(~80.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-note-8-.jpg,168 g (5.93 oz),,"Black, Blue, Red, Pink",,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,No,"4.2, A2DP, LE","Dual-LED dual-tone flash, panorama",153.6 x 75.5 x 7.9 mm (6.05 x 2.97 x 0.31 in),No,Yes,"Li-Ion 3600 mAh, non-removable","8 MP, f/2.0",
CDMA 800 & TD-SCDMA - China,"GPS, GLONASS",,,"1, 3, 5, 8, 34, 38, 39, 40, 41 - China",,1080p@30fps,,,,"12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF5 MP","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 2100 - China,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),"Android 8.0 (Oreo), Flyme UI",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, September",,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",Qualcomm SDM710 Snapdragon 710 (10 nm),Adreno 616,"Available. Released 2018, October",Yes,About 200 EUR,,,,,,No,,,,Meizu X8,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / LTE,"6.2 inches, 97.6 cm2(~86.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-x8.jpg,160 g (5.64 oz),,"Black, Blue, White",,"1080 x 2220 pixels, 18.5:9 ratio (~398 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat15 800/150 Mbps","Fingerprint (rear-mounted), accelerometer, proximity, compass",X8,No,"5.0, A2DP, LE","Dual-LED dual-tone flash, panorama",151.2 x 74.6 x 7.8 mm (5.95 x 2.94 x 0.31 in),No,Yes,"Li-Ion 3210 mAh, non-removable","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",
CDMA 800 & TD-SCDMA - China,"GPS, GLONASS",,,"1, 3, 5, 8, 34, 38, 39, 40, 41 - China",,1080p@30fps,,,eMMC 5.1,"12 MP, f/2.2, AF5 MP, f/2.2","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 2100 - China,Octa-core 2.0 GHz Cortex-A53,"Android 8.0 (Oreo), Flyme UI",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, September",,64GB 4GB RAM,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,"Available. Released 2018, September",Yes,About 150 EUR,,,,,,No,,,,Meizu V8 Pro,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / LTE,"5.7 inches, 83.8 cm2(~78.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-v8-pro.jpg,159 g (5.61 oz),,"Black, Gold",,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/50 Mbps","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,"5.0, A2DP, LE","Dual-LED dual-tone flash, panorama",147.5 x 72.7 x 8.1 mm (5.81 x 2.86 x 0.32 in),microSDXC,Yes,"Li-Ion 3100 mAh, non-removable","5 MP, f/1.9",
CDMA 800 & TD-SCDMA - China,"GPS, GLONASS",,"5 MP, f/1.9","1, 3, 5, 7, 8, 38, 39, 40, 41 - China",,1080p@30fps,,,eMMC 5.1,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 2100 - China,Quad-core 1.5 GHz Cortex-A53,"Android 8.0 (Oreo), Flyme UI",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, September",,32GB 3GB RAM,Mediatek MT6739 (28 nm),PowerVR GE8100,"Available. Released 2018, September",Yes,About 100 EUR,,,,,,No,,,,Meizu V8,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / LTE,"5.7 inches, 83.8 cm2(~77.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-v8.jpg,145 g (5.11 oz),,"Black, White",,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,"4.2, A2DP, LE","Dual-LED dual-tone flash, panorama",148 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in),microSDXC,Yes,"Li-Ion 3200 mAh, non-removable","13 MP, f/2.2, AF",
CDMA 800 & TD-SCDMA - China,"GPS, GLONASS, BDS",,,"1, 3, 4, 5, 8, 34, 38, 39, 40, 41 - China",,"4K@30fps, 1080p@30fps (gyro-EIS)",,1080p@30fps,,"12 MP, f/1.8, 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS20 MP, f/2.6, 1/2.6"", 1.0µm, AF","Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100 - China,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),"Android 8.0 (Oreo), Flyme UI",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, September",,"64GB 6GB RAM, 128GB 6GB RAM",Qualcomm SDM710 Snapdragon 710 (10 nm),Adreno 616,"Available. Released 2018, September",Yes,About 300 EUR,,,,,,No,,,,Meizu 16X,Nano-SIM + Nano-SIM,Meizu,,Super AMOLED,,GSM / CDMA / HSPA / LTE,"6.0 inches, 92.9 cm2(~83.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m16x-.jpg,154 g (5.43 oz),,"Black, White, Gold",,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat15 800/150 Mbps","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","Laser AF, Six-LED dual-tone flash, Auto-HDR, panorama",151 x 73.5 x 7.5 mm (5.94 x 2.89 x 0.30 in),No,"Yes, with stereo speakers","Li-Ion 3100 mAh, non-removable","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",
CDMA 800 & TD-SCDMA - China,"GPS, GLONASS, BDS, GALILEO, SBAS, QZSS",,,"1, 2, 3, 4, 5, 7, 8, 20, 40 - Global",,"4K@30fps, 1080p@30fps (gyro-EIS)",24W wired,1080p@30fps,HSDPA 850 / 900 / 1900 / 2100 - China,"12 MP, f/1.8, 25mm (wide), 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS20 MP, f/2.6, 1/2.6"", 1.0µm","Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"Android 8.1 (Oreo), Flyme UI",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, August",,"64GB 6GB RAM, 128GB 8GB RAM",Qualcomm SDM845 Snapdragon 845 (10 nm),Adreno 630,"Available. Released 2018, August",Yes,About 410 EUR,,,,,,No,UFS 2.1,,"1, 3, 4, 5, 8, 34, 38, 39, 40, 41 - China",Meizu 16,Nano-SIM + Nano-SIM,Meizu,,Super AMOLED,,GSM / CDMA / HSPA / LTE,"6.0 inches, 92.9 cm2(~84.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-16.jpg,152 g (5.36 oz),,"Black, White",,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (4CA) Cat16 1024/150 Mbps","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","Laser AF, Six-LED dual-tone flash, Auto-HDR, panorama",150.5 x 73.2 x 7.3 mm (5.93 x 2.88 x 0.29 in),No,"Yes, with stereo speakers","Li-Ion 3010 mAh, non-removable","20 MP, f/2.0, 27mm (wide), 1/2.8"", 1.0µm",
CDMA 800 & TD-SCDMA - China,"GPS, GLONASS, BDS, GALILEO, SBAS, QZSS",,,"1, 2, 3, 4, 5, 7, 8, 20, 40 - Global",,"4K@30fps, 1080p@30fps (gyro-EIS)",24W wired,1080p@30fps,HSDPA 850 / 900 / 1900 / 2100 - China,"12 MP, f/1.8, 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS20 MP, f/2.6, 1/2.6"", 1.0µm, AF","Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"Android 8.0 (Oreo), Flyme UI",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, August",,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Qualcomm SDM845 Snapdragon 845 (10 nm),Adreno 630,"Available. Released 2018, August",Yes,About 480 EUR,,,,,,No,,,"1, 3, 4, 5, 8, 34, 38, 39, 40, 41 - China",Meizu 16 Plus,Nano-SIM + Nano-SIM,Meizu,,Super AMOLED,,GSM / CDMA / HSPA / LTE,"6.5 inches, 107.9 cm2(~86.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-16-plus.jpg,182 g (6.42 oz),,"Black, White",,"1080 x 2160 pixels, 18:9 ratio (~374 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (4CA) Cat16 1024/150 Mbps","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","Laser AF, Six-LED dual-tone flash, Auto-HDR, panorama",160.4 x 78.2 x 7.3 mm (6.31 x 3.08 x 0.29 in),No,"Yes, with stereo speakers","Li-Ion 3570 mAh, non-removable","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",
CDMA 800 & TD-SCDMA,"GPS, GLONASS",,,"1, 3, 8, 34, 38, 39, 40, 41",,1080p@30fps,,,eMMC 5.1,"13 MP, f/2.2, PDAF2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 7.0 (Nougat), Flyme UI",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, May",,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",Mediatek MT6750 (28 nm),Mali-T860MP2,"Available. Released 2018, June",Yes,About 130 EUR,,,,,"Glass front, plastic back, plastic frame",No,,,,Meizu M6T,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / LTE,"5.7 inches, 83.8 cm2(~75.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m6t.jpg,145 g (5.11 oz),,"Black, Champagne Gold, Coral Red",,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, proximity, compass",M6T,FM radio,"4.1, A2DP, LE","LED flash, panorama",152.3 x 73 x 8.4 mm (6.00 x 2.87 x 0.33 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3300 mAh, non-removable","8 MP, f/2.0",
eMMC 5.1,GPS,,"8 MP, f/2.0","1, 3, 5, 7, 8, 20, 40",,1080p@30fps,,,,,Wi-Fi 802.11 a/b/g/n,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.4 GHz Cortex-A53,"Android 7.0 (Nougat), Flyme UI",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, May",,"16GB 2GB RAM, 32GB 2GB RAM",Qualcomm MSM8917 Snapdragon 425 (28 nm),Adreno 308,"Available. Released 2018, June",Yes,About 140 EUR,,,,,,No,,,,Meizu M8c,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.45 inches, 76.7 cm2(~74.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m8c.jpg,140 g (4.94 oz),,"Black, Gold, Blue, Red",,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity",,FM radio,"4.1, A2DP, LE",LED flash,146.4 x 70 x 8.5 mm (5.76 x 2.76 x 0.33 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3070 mAh, non-removable","13 MP, f/2.2, PDAF",
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS, GALILEO, SBAS, QZSS",,,"1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",,"4K@30fps, 1080p@30fps (gyro-EIS)",24W wired,1080p@30fps,"1, 3, 4, 5, 8, 34, 38, 39, 40, 41","12 MP, f/1.8, 1/2.3"", 1.55 µm, dual pixel PDAF, 4-axis OIS20 MP, 1/2.8"", 1.0 µm, AF, portraits only","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x2.5 GHz Mongoose M2 & 4x1.7 GHz Cortex-A53),"Android 7.1.2 (Nougat), Flyme 7.3",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, April",GeekBench: 6122 (v4.4),"64GB 6GB RAM, 128GB 6GB RAM",Exynos 8895 (10 nm),Mali-G71 MP20,"Available. Released 2018, April",Yes,About 480 EUR,,,,,,No,UFS 2.1,,"1, 3, 5, 8, 34, 38, 39, 40, 41",Meizu 15 Plus,Nano-SIM + Nano-SIM,Meizu,,Super AMOLED,,GSM / CDMA / HSPA / LTE,"5.95 inches, 97.6 cm2(~81.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-15-plus-.jpg,177 g (6.24 oz),,"Gray, Yakin, Ink",,"1440 x 2560 pixels, 16:9 ratio (~494 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",,No,"4.2, A2DP, LE","Laser AF, Six-LED dual-tone flash, HDR, panorama",153.8 x 78.3 x 7.3 mm (6.06 x 3.08 x 0.29 in),No,"Yes, with stereo speakers","Li-Ion 3500 mAh, non-removable","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,,"1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",,"4K@30fps, 1080p@30fps",24W wired,1080p@30fps,"1, 3, 4, 5, 8, 34, 38, 39, 40, 41","12 MP, f/1.8, 1/2.3"", 1.55 µm, dual pixel PDAF, 4-axis OIS20 MP, 1/2.8"", 1.0 µm, AF, portraits only","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"Android 7.1.2 (Nougat), Flyme 7.3",USB Type-C 2.0,Noise -93.2dB / Crosstalk -93.9dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 77h,"2018, April",AnTuTu: 128680 (v7)GeekBench: 5770 (v4.4)GFXBench: 9.2fps (ES 3.1 onscreen),"64GB 4GB RAM, 128GB 4GB RAM",Qualcomm SDM660 Snapdragon 660 (14 nm),Adreno 512,"Available. Released 2018, April",Yes,About 400 EUR,,,,,,No,eMMC 5.1,,"1, 3, 5, 8, 34, 38, 39, 40, 41",Meizu 15,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: Infinite (nominal), 4.082 (sunlight)",Super AMOLED,Photo/Video,GSM / CDMA / HSPA / LTE,"5.46 inches, 82.2 cm2(~79.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-15.jpg,152 g (5.36 oz),,"Ink, Yakin, Indigo, White",Voice 77dB / Noise 74dB / Ring 80dB,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",,No,"4.2, A2DP, LE","Laser AF, Six-LED dual-tone flash, HDR, panorama",143 x 72 x 7.3 mm (5.63 x 2.83 x 0.29 in),No,"Yes, with stereo speakers","Li-Ion 3000 mAh, non-removable","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","1, 3, 5, 8, 34, 38, 39, 40, 41",,1080p@30fps,18W wired,1080p@30fps,eMMC 5.1,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core 2.2 GHz Cortex-A53,"Android 7.1.2 (Nougat), Flyme 7",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, April",GeekBench: 4464 (v4.4),64GB 4GB RAM,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),Adreno 506,"Available. Released 2018, May",Yes,About 240 EUR,,,,,,No,,,,Meizu 15 Lite,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / LTE,"5.46 inches, 82.2 cm2(~79.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m15.jpg,145 g (5.11 oz),,"Black, Gold, Red",,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",15 Lite,No,"4.2, A2DP, LE","Six-LED dual-tone flash, HDR, panorama",143.6 x 72.4 x 7.5 mm (5.65 x 2.85 x 0.30 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3000 mAh, non-removable","12 MP, f/1.9, 1.4 µm, dual pixel PDAF",
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,1080p@30fps,"24W wired, 53% in 30 min",1080p@30fps,CDMA2000 1xEV-DO,"12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF20 MP, f/2.6, 1/2.8"", 1.0µm, PDAF","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),"Android 7.1.2 (Nougat), Flyme 7",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2018, March",,"64GB 6GB RAM, 128GB 6GB RAM",Qualcomm SDM636 Snapdragon 636 (14 nm),Adreno 509,"Available. Released 2018, April",Yes,About 280 EUR,,,,,"Glass front, aluminum back, aluminum frame",No,,,eMMC 5.1,Meizu E3,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / EVDO / LTE,"5.99 inches, 92.6 cm2(~78.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-e3.jpg,160 g (5.64 oz),,"Black Stone, Moonlight Silver, Champagne Gold",,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",,"HSPA, LTE","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","Dual-LED dual tone flash, HDR, panorama",156.8 x 75 x 7.6 mm (6.17 x 2.95 x 0.30 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3360 mAh, non-removable","8 MP, f/2.0, 1/3.2"", 1.4µm",
