,CPU,Features,4G bands,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Games,Price,3.5mm jack,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
,Octa-core 1.3 GHz Cortex-A53,"LED flash, HDR, panorama","1, 3, 20","5 MP, f/2.2",Up to 275 h (3G),"Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Yes,"4.0, A2DP",,,Yes,"Dual SIM (Micro-SIM, dual stand-by)","13 MP, f/2.2, PDAF",141 g (4.97 oz),Mediatek MT6753V,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",,GSM 850 / 900 / 1800 / 1900,LED flash,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Up to 10 h (3G),microSDXC,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,"2015, October. Released 2015, November",1080p@30fps,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass 3,Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z10.jpg,"5.2 inches, 74.5 cm2(~67.7% screen-to-body ratio)",QMobile Noir Z10,,"Black, White",IPS LCD,,,149.5 x 73.6 x 8.6 mm (5.89 x 2.90 x 0.34 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,Z10,1080p@30fps,"Li-Ion 2900 mAh, non-removable","Accelerometer, gyro, proximity, compass",
eMMC 5.0,Octa-core 2.0 GHz Cortex-A53,"Dual-LED dual-tone flash, panorama, HDR","1, 3, 7, 20, 38, 39, 40, 41","8 MP, AF",Up to 437 h (2G) / Up to 500 h (3G),"Android 5.1 (Lollipop), Amigo 3.1","Yes, with stereo speakers","4.0, A2DP, EDR",,About 400 EUR,Yes,"Dual SIM (Micro-SIM, dual stand-by)","24 MP, 1/2.3"", PDAF, OIS",210 g (7.41 oz),Mediatek MT6795 Helio X10 (28 nm),,Discontinued,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"1440 x 2560 pixels, 16:9 ratio (~490 ppi density)",Up to 39 h (2G) / Up to 20 h (3G),microSDXC,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"2015, November. Released 2015, November",,GSM / HSPA / LTE,24-bit/192kHz audio,QMobile,,PowerVR G6200,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-e8.jpg,"6.0 inches, 99.2 cm2(~73.5% screen-to-body ratio)",QMobile Noir E8,,"Black, Gold",AMOLED,,,164 x 82.3 x 9.6 mm (6.46 x 3.24 x 0.38 in),64GB 3GB RAM,"microUSB 2.0, OTG",,GPS,"FM radio, recording",HSDPA 900 / 1900 / 2100,,,4K@30fps,"Li-Po 3500 mAh, non-removable","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, HDR, panorama",,5 MP,Up to 336 h (2G) / Up to 336 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,Yes,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, AF",-,Mediatek MT6580 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 23 h (2G) / Up to 20 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, November. Released 2015, November",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-s2.jpg,"5.0 inches, 68.9 cm2(~68.1% screen-to-body ratio)",QMobile Noir S2,,Black,IPS LCD,,,142.5 x 71 x 9.3 mm (5.61 x 2.80 x 0.37 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,S2,1080p@30fps,"Li-Ion 2000 mAh, removable","Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama, HDR",,8 MP,Up to 750 h (2G) / Up to 675 h (3G),Android 5.0 (Lollipop),Yes,"4.0, A2DP",,About 130 EUR,Yes,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, AF",-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",Up to 24 h (2G) / Up to 12 h (3G),microSDXC,HSPA 21.1/5.76 Mbps,No,"2015, August. Released 2015, August",,GSM / HSPA,,QMobile,Corning Gorilla Glass 3,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-s5.jpg,"4.8 inches, 63.5 cm2(~65.9% screen-to-body ratio)",QMobile Noir S5,,Black/White,AMOLED,,,141 x 68.4 x 7.5 mm (5.55 x 2.69 x 0.30 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 2300 mAh battery,"Accelerometer, proximity, gravity",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,5 MP,Up to 374 h (3G),Android 5.0 (Lollipop),Yes,"4.0, A2DP",,,Yes,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, AF",-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 9 h (3G),microSDXC,HSPA 21.1/5.76 Mbps,No,"2015, July. Released 2015, July",,GSM / HSPA,,QMobile,Corning Gorilla Glass 3,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-linq-l15.jpg,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",QMobile Linq L15,,Black,IPS LCD,,,143 x 71 x 8.5 mm (5.63 x 2.80 x 0.33 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 2800 mAh battery,"Accelerometer, proximity",
eMMC 4.5,Quad-core 1.2 GHz Cortex-A53,"LED flash, HDR, panorama","3, 5, 20",5 MP,Up to 345 h (3G),Android 5.0 (Lollipop),Yes,"4.0, A2DP",,About 230 EUR,Yes,Nano-SIM,"8 MP, AF",97 g (3.42 oz),Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900,,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",Up to 8 h (3G),No,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2015, July. Released 2015, July",1080p@30fps,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass 3,Adreno 306,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z9.jpg,"4.8 inches, 63.5 cm2(~66.2% screen-to-body ratio)",QMobile Noir Z9,,Black,AMOLED,,,141 x 68 x 5.1 mm (5.55 x 2.68 x 0.20 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 850 / 1700(AWS) / 1900 / 2100,,,1080p@30fps,"Li-Po 2000 mAh, non-removable","Accelerometer, proximity",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,Up to 160 h (3G),"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Yes,"4.0, A2DP",,About 100 EUR,Yes,Dual SIM,"5 MP, AF",138 g (4.87 oz),Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",Up to 8 h (3G),microSDXC,HSPA 42.2/11.5 Mbps,No,"2015, July. Released 2015, July",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-a1.jpg,"4.5 inches, 44.2 cm2(~50.0% screen-to-body ratio)",QMobile A1,,Black,IPS LCD,,,132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),8GB 1GB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 850 / 2100,,,1080p@30fps,Li-Ion 1700 mAh battery,"Accelerometer, gyro, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,5 MP,Up to 200 h (3G),Android 5.0 (Lollipop),Yes,"4.0, LE",,About 100 EUR,Yes,Dual SIM,"5 MP, AF",152 g (5.36 oz),Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 10 h (3G),microSDXC,HSPA 42.2/11.5 Mbps,No,"2015, July. Released 2015, July",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-s1.jpg,"5.0 inches, 68.9 cm2(~67.1% screen-to-body ratio)",QMobile Noir S1,,Black,IPS LCD,,,143 x 71.8 x 8.9 mm (5.63 x 2.83 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 850 / 2100,,S1,720p,"Li-Ion 2000 mAh, removable","Accelerometer, proximity",
No,,LED flash,,,,,Yes,2.0,Downloadable,About 20 EUR,Yes,Dual SIM,Yes,-,,Yes,Discontinued,No,,GSM 900 / 1800 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,microSDHC,,No,"2015, June. Released 2015, June",,GSM,MP4/H.263 playerOrganizerVoice memo,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-power3.jpg,"2.4 inches, 17.8 cm2(~27.8% screen-to-body ratio)",QMobile Power3,"SMS, MMS",Black,"TFT, 65K colors",Yes,Yes,124.5 x 51.5 x 13.5 mm (4.90 x 2.03 x 0.53 in),32MB 32MB RAM,microUSB 2.0,No,No,FM radio,,,,Yes,Li-Ion 2500 mAh battery,No,No
,1.0 GHz,LED flash,,VGA,Up to 155 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 50 EUR,Yes,Dual SIM,VGA,-,Spreadtrum 7715,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 900 / 1800 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 4 h 30 min (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, June. Released 2015, June",,GSM / HSPA,,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-bolt-t50.jpg,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",QMobile T50 Bolt,,Black,"TFT, 256K colors",,,124 x 64.5 x 11.2 mm (4.88 x 2.54 x 0.44 in),4GB 512MB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1200 mAh battery,Accelerometer,
,Quad-core 1.2 GHz,LED flash,,VGA,Up to 279 h,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 60 EUR,Yes,Dual SIM,2 MP,-,Spreadtrum 7731,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 900 / 1800 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 5 h,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, June. Released 2015, June",,GSM / HSPA,,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-t200.jpg,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",QMobile T200 Bolt,,Black,TFT,,,124 x 64.5 x 11.2 mm (4.88 x 2.54 x 0.44 in),4GB 512MB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1450 mAh battery,Accelerometer,
,Octa-core 1.5 GHz Cortex-A53,"LED flash, HDR, panorama","1, 3, 7",5 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 200 EUR,Yes,Dual SIM,13 MP,-,Mediatek MT6752M,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC,"HSPA 21.1/5.76 Mbps, LTE",No,"2015, June. Released 2015, June",,GSM / HSPA / LTE,,QMobile,,Mali-T760MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x950.jpg,"5.0 inches, 68.9 cm2(~72.9% screen-to-body ratio)",QMobile Noir X950,,Black,Super AMOLED,,,139 x 68 x 5.9 mm (5.47 x 2.68 x 0.23 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 2500 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,,,2 MP,,Android 4.4 (KitKat),Yes,"4.0, A2DP",,About 120 EUR,Yes,Nano-SIM,"5 MP, AF",-,Mediatek MT8382 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900,,"768 x 1024 pixels, 4:3 ratio (~163 ppi density)",,microSDHC (dedicated slot),HSPA 42.2/11.5 Mbps,No,"2015, May. Released 2015, May",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qtab-v10.jpg,"7.85 inches, 190.8 cm2",QMobile QTab V10,,Black,IPS LCD,,,-,8GB 1GB RAM,"microUSB 2.0, OTG",,GPS,"Stereo FM radio, RDS",HSDPA 850 / 900 / 1900 / 2100,,,720p@30fps,Li-Ion 4700 mAh battery,"Accelerometer, compass",
MP4/H.263 playerOrganizerVoice memo,,,,VGA,,,Yes,2.0,Downloadable,About 40 EUR,Yes,Dual SIM,2 MP,-,,Yes,Discontinued,Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,microSDHC,HSPA 7.2/5.76 Mbps,No,"2015, May. Released 2015, May",,GSM / HSPA,,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-explorer-3g.jpg,"2.8 inches, 24.3 cm2(~33.1% screen-to-body ratio)",QMobile Explorer 3G,"SMS(threaded view), MMS, Email, IM",Black,"TFT, 65K colors",Yes,,131 x 56 x 12.4 mm (5.16 x 2.20 x 0.49 in),128MB 64MB RAM,microUSB 2.0,,No,FM radio,HSDPA 850 / 900 / 1900 / 2100,,,320p@15fps,Li-Ion 1450 mAh battery,No,No
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,Up to 360 h (2G) / Up to 360 h (3G),Android 5.0 (Lollipop),"Yes, with stereo speakers","4.0, A2DP",,About 100 EUR,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","8 MP, AF",151 g (5.33 oz),Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~199 ppi density)",Up to 16 h 30 min (2G) / Up to 15 h 30 min (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, May. Released 2015, May",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-i8.jpg,"4.7 inches, 62.9 cm2(~63.2% screen-to-body ratio)",QMobile Noir i8,,Black,IPS LCD,,,139 x 71.6 x 8.8 mm (5.47 x 2.82 x 0.35 in),8GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 2120 mAh battery,"Accelerometer, proximity",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama",,2 MP,Up to 162 h (2G) / Up to 108 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 160 EUR,Yes,Dual SIM,"5 MP, AF",150 g (5.29 oz),Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 13 h 30 min (2G) / Up to 9 h 30 min (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, May. Released 2015, May",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x450.jpg,"5.0 inches, 68.9 cm2(~64.9% screen-to-body ratio)",QMobile Noir X450,,Black,TFT,,,142.8 x 74.3 x 8.6 mm (5.62 x 2.93 x 0.34 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 1950 mAh battery,"Accelerometer, proximity, compass",
eMMC 4.5,Quad-core 1.2 GHz Cortex-A53,"LED flash, HDR, panorama","3, 5, 20",5 MP,Up to 710 h (2G) / Up to 660 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 180 EUR,Yes,Dual SIM,"13 MP, AF",-,Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Up to 28 h (2G) / Up to 17 h (3G),microSDXC,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2015, May. Released 2015, May",1080p@30fps,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass 3,Adreno 306,https://fdn2.gsmarena.com/vv/bigpic/qmobile-z8-plus.jpg,"5.5 inches, 83.4 cm2(~80.7% screen-to-body ratio)",QMobile Noir Z8 Plus,,Black,IPS LCD,,,143.5 x 72 x 7.5 mm (5.65 x 2.83 x 0.30 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 850 / 1700(AWS) / 1900,,,1080p@30fps,"Li-Ion 2820 mAh, removable","Accelerometer, gyro, proximity",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,Up to 386 h (2G) / Up to 386 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 110 EUR,Yes,Dual SIM,"5 MP, AF",-,Mediatek MT6582V/X,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Up to 16 h 30 min (2G) / Up to 11 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, April. Released 2015, April",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x350.jpg,"4.5 inches, 55.8 cm2(~64.3% screen-to-body ratio)",QMobile Noir X350,,Black,"TFT, 256K colors",,,131.5 x 66 x 8.5 mm (5.18 x 2.60 x 0.33 in),8GB 1GB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Po 1800 mAh battery,"Accelerometer, proximity, compass",
eMMC 4.5,Quad-core 1.2 GHz Cortex-A7,"LED flash, panorama","39, 40, 41",5 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 160 EUR,Yes,Dual SIM,"8 MP, AF",-,Qualcomm MSM8926 Snapdragon 400 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC,"HSPA, LTE",No,"2015, March. Released 2015, March",,GSM / HSPA / LTE,,QMobile,,Adreno 305,https://fdn2.gsmarena.com/vv/bigpic/qmobile-lt600.jpg,"5.0 inches, 68.9 cm2(~68.2% screen-to-body ratio)",QMobile Noir LT600,,Black,TFT,,,143 x 70.7 x 6.9 mm (5.63 x 2.78 x 0.27 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama",,2 MP,Up to 1090 h (2G) / Up to 1090 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 160 EUR,Yes,Dual SIM,"8 MP, AF",180 g (6.35 oz),Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 52 h (2G) / Up to 33 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, March. Released 2015, March",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-m300.jpg,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",QMobile Noir M300,,Black,IPS LCD,,,144.5 x 71.5 x 10.4 mm (5.69 x 2.81 x 0.41 in),8GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 5000 mAh battery,"Accelerometer, proximity, compass",
eMMC 4.5,Quad-core 1.2 GHz Cortex-A7,LED flash,,VGA,,Microsoft Windows Phone 8.1,Yes,"4.0, A2DP",,About 60 EUR,Yes,Dual SIM,"5 MP, AF",-,Qualcomm MSM8212 Snapdragon 200 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, March. Released 2015, March",,GSM / HSPA,,QMobile,,Adreno 302,https://fdn2.gsmarena.com/vv/bigpic/qmobile-w1.jpg,"4.0 inches, 45.5 cm2(~56.5% screen-to-body ratio)",QMobile W1,,Black,TFT,,,126 x 64 x 10.5 mm (4.96 x 2.52 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 1950 mAh battery,"Accelerometer, proximity",
eMMC 4.5,Quad-core 1.2 GHz Cortex-A53,"LED flash, HDR, panorama","3, 5, 20",5 MP,Up to 700 h (2G) / Up to 650 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 170 EUR,Yes,Dual SIM,"13 MP, AF",120 g (4.23 oz),Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 26 h (2G) / Up to 15 h (3G),microSDXC,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2015, March. Released 2015, March",1080p@30fps,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass 3,Adreno 306,https://fdn2.gsmarena.com/vv/bigpic/qmobile-z8.jpg,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",QMobile Noir Z8,,Black,IPS LCD,,,143.5 x 72 x 7.5 mm (5.65 x 2.83 x 0.30 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 850 / 1700(AWS) / 1900,,,1080p@30fps,"Li-Ion 2400 mAh, removable","Accelerometer, gyro, proximity",
,Quad-core 1.2 GHz Cortex-A7,"LED flash, HDR, panorama",,5 MP,Up to 220 h,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 220 EUR,Yes,Dual SIM,"13 MP, AF",158 g (5.29 oz),Mediatek MT6589 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 8 h,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, February. Released 2015, February",720p,GSM / HSPA,,QMobile,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a750.jpg,"5.0 inches, 68.9 cm2(~64.6% screen-to-body ratio)",QMobile Noir A750,,Black,IPS LCD,,,144.5 x 73.8 x 8.9 mm (5.69 x 2.91 x 0.35 in),16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama, HDR",,VGA,Up to 390 h (2G) / Up to 320 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 90 EUR,Yes,Dual SIM,5 MP,-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 640 pixels, 4:3 ratio (~200 ppi density)",Up to 16 h (2G) / Up to 7 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, February. Released 2015, February",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-linq-x70.jpg,"4.0 inches, 49.5 cm2(~61.4% screen-to-body ratio)",QMobile Linq X70,,Black,"IPS LCD, 256K colors",,,128 x 63 x 9 mm (5.04 x 2.48 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 1500 mAh battery,"Accelerometer, proximity",
,Octa-core 1.7 GHz Cortex-A7,"LED flash, panorama, HDR",,5 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 210 EUR,Yes,Micro-SIM,"8 MP, AF",97.7 g (3.46 oz),Mediatek MT6592 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900,,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",,No,HSPA 42.2/5.76 Mbps,No,"2015, February. Released 2015, February",,GSM / HSPA,,QMobile,,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z7.jpg,"4.8 inches, 63.5 cm2(~67.4% screen-to-body ratio)",QMobile Noir Z7,,Black,AMOLED,,,139.8 x 67.4 x 5.2 mm (5.50 x 2.65 x 0.20 in),16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2050 mAh, non-removable","Accelerometer, gyro, proximity, compass",
