,Single_1,OS,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,128GB 8GB RAM,Display,Talk time,32GB 2GB RAM,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Dual,Single,2G bands,Resolution,128GB 4GB RAM,Announced,Technology,_1,SAR,GPU,Battery (new),Model Image,Size,Model Name,256GB 6GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,NFC,Build,_5,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
CDMA 800,,"Android 12, Realme UI 3.0",Yes,,Qualcomm SM6375 Snapdragon 695 5G (6 nm),,"Available. Released 2022, March 04","HDR, panorama",,,,,,,,,,No,33W wired,LTE,,,,About 290 EUR,,,"16 MP, f/2.1, 26mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~400 ppi density)",,"2022, March 03",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Adreno 619,,https://fdn2.gsmarena.com/vv/bigpic/realme-v25.jpg,"6.6 inches, 104.8 cm2(~84.4% screen-to-body ratio)",Realme V25,,,,SA/NSA,"GPS, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,"64 MP, f/1.8, 26mm (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,microSDXC (uses shared SIM slot),,,164.3 x 75.6 x 8.5 mm (6.47 x 2.98 x 0.33 in),,256GB 12GB RAM,"USB Type-C 2.0, OTG",,,Yes,"5.1, A2DP, LE, aptX HD",,,195 g (6.88 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Midnight Black, Aurora Green, Sunrise Blue","IPS LCD, 120Hz",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
UFS 2.1,,"Android 11, Realme UI 2.0",Yes,,Mediatek MT6781 Helio G96 (12 nm),,"Available. Released 2022, March 03",Panorama,,,,,,,,,,No,33W wired,"1, 3, 5, 8, 38, 40, 41",,,"₹ 7,499","$ 569.00 / ₹ 7,499",,,"16 MP, f/2.1, (wide), 1/3.0"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~400 ppi density)",,"2022, February 24",GSM / HSPA / LTE,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-50.jpg,"6.6 inches, 104.8 cm2(~84.6% screen-to-body ratio)",Realme Narzo 50,,,,,"GPS, GLONASS, GALILEO, BDS",$ 569.00,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, 26mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,microSDXC (dedicated slot),,,164.1 x 75.5 x 8.5 mm (6.46 x 2.97 x 0.33 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","USB Type-C 2.0, OTG",RMX3286,,Yes,"5.1, A2DP, LE",,,194 g (6.84 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30/120fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Speed Blue, Speed Black","IPS LCD, 120Hz",,HSDPA 850 / 900 / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41 - India",,"Android 12, upgradable to Android 13, Realme UI 4.0",Yes,-25.3 LUFS (Very good),Mediatek Dimensity 920 (6 nm),,"Available. Released 2022, February 21","HDR, panorama",$ 765.00,613 nits max brightness (measured),,,,€ 190.73,,,,No,"60W wired, PD3.0, 100% in 44 min","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International",Photo/Video,,,"€ 190.73 / $ 515.00 / ₹ 13,999",24-bit/192kHz Hi-Res audio,,"16 MP, f/2.4, 27mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",,"2022, February 16",GSM / HSPA / LTE / 5G,"1, 28, 41, 77, 78 SA/NSA - India",1.19 W/kg (head)     0.73 W/kg (body),Mali-G68 MC4,,https://fdn2.gsmarena.com/vv/bigpic/realme-9-pro-plus.jpg,"6.4 inches, 98.9 cm2(~84.2% screen-to-body ratio)",Realme 9 Pro+,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International","GPS, GLONASS, BDS",$ 515.00,4500 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,UFS 2.2,Nano-SIM + Nano-SIM,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,Endurance rating 117h,No,Corning Gorilla Glass 5,,160.2 x 73.3 x 8 mm (6.31 x 2.89 x 0.31 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","RMX3392, RMX3393",,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD",,,182 g (6.42 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","HSPA, LTE, 5G",Yes (market/region dependent),"Glass front (Gorilla Glass 5), glass back",,Realme,,,,"Midnight Black, Aurora Green, Sunrise Blue, Free Fire Limited Edition","Super AMOLED, 90Hz, 430 nits (typ), 600 nits (HBM)","AnTuTu: 495096 (v8), 416031 (v9)GeekBench: 2335 (v5.1)GFXBench: 27fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1080p@30fps, gyro-EIS",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"1, 3, 4, 5, 7, 8, 19, 28, 34, 38, 39, 40, 41 - India",,"Android 12, upgradable to Android 13, Realme UI 4.0",Yes,-25.3 LUFS (Very good),Qualcomm SM6375 Snapdragon 695 5G (6 nm),,"Available. Released 2022, February 23","HDR, panorama",€ 295.00,"1601:1 contrast ratio, 567 nits max brightness (measured)",,,,,,,,No,33W wired,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International",Photo/Video,,,"€ 259.99 / $ 179.99 / £ 255.35 / ₹ 12,999",24-bit/192kHz Hi-Res audio,,"16 MP, f/2.1, 26mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~400 ppi density)",,"2022, February 16",GSM / HSPA / LTE / 5G,"1, 28, 41, 77, 78 SA/NSA - India",1.19 W/kg (head)     0.71 W/kg (body),Adreno 619,,https://fdn2.gsmarena.com/vv/bigpic/realme-9-pro.jpg,"6.6 inches, 104.8 cm2(~84.4% screen-to-body ratio)",Realme 9 Pro,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International","GPS, GLONASS, BDS",€ 259.99,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),,UFS 2.2,Nano-SIM + Nano-SIM,"64 MP, f/1.8, 26mm (wide), PDAF8 MP, f/2.2, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,Endurance rating 134h,microSDXC (uses shared SIM slot),,,164.3 x 75.6 x 8.5 mm (6.47 x 2.98 x 0.33 in),,"128GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG","RMX3471, RMX3472",,Yes,"5.1, A2DP, LE, aptX HD",,,195 g (6.88 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",Yes (market/region dependent),,,Realme,,,,"Midnight Black, Aurora Green, Sunrise Blue","IPS LCD, 120Hz",AnTuTu: 401894 (v9)GeekBench: 2020 (v5.1)GFXBench: 16fps (ES 3.1 onscreen),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
UFS 2.2,,"Android 11, Realme UI 2.0",Yes,,Unisoc Tiger T616 (12 nm),,"Available. Released 2022, February 14",HDR,,,,,,,,,,FM radio,18W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,£ 129.99,"€ 149.00 / $ 90.00 / £ 129.99 / ₹ 7,799",,,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",€ 149.00,"2022, February 10",GSM / HSPA / LTE,,1.19 W/kg (head)     1.13 W/kg (body),Mali-G57 MP1,,https://fdn2.gsmarena.com/vv/bigpic/realme-c35.jpg,"6.6 inches, 104.4 cm2(~84.0% screen-to-body ratio)",Realme C35,,,,,"GPS, GLONASS, GALILEO, BDS","₹ 8,999",5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, 26mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)0.3 MP, f/2.8, (depth)",,,microSDXC (dedicated slot),Panda Glass,,164.4 x 75.6 x 8.1 mm (6.47 x 2.98 x 0.32 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","USB Type-C 2.0, OTG",RMX3511,,Yes,"5.0, A2DP, LE",,,189 g (6.67 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",Yes (market/region dependent),"Glass front, plastic frame, plastic back",,Realme,,,,"Glowing Black, Glowing Green","IPS LCD, 480 nits (typ), 600 nits (HBM)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"1, 3, 5, 8, 38, 40, 41",,"Android 11, upgradable to Android 13, Realme UI 4",Yes,,Qualcomm SM6225 Snapdragon 680 4G (6 nm),,"Available. Released 2022, January 10",Panorama,,,,,,,,,,No,"33W wired, 100% in 70 min","1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,€ 157.99,"€ 157.99 / $ 169.99 / £ 139.58 / ₹ 10,990",,,"16 MP, f/2.1, 26mm (wide), 1/3.0"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~400 ppi density)",€ 229.99,"2022, January 10",GSM / HSPA / LTE,UFS 2.2 - VietnamUFS 2.1 - India,,Adreno 610,,https://fdn2.gsmarena.com/vv/bigpic/realme-9i-r1.jpg,"6.6 inches, 104.8 cm2(~84.2% screen-to-body ratio)",Realme 9i,,,,,"GPS, GLONASS, GALILEO, BDS",$ 169.99,5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,"50 MP, f/1.8, 26mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,microSDXC (dedicated slot),Dragontrail Pro Glass,,164.4 x 75.7 x 8.4 mm (6.47 x 2.98 x 0.33 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","USB Type-C 2.0, OTG",RMX3491,,"Yes, with stereo speakers","5.0, A2DP, LE",,,190 g (6.70 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",Yes (market/region dependent),"Glass front (Dragontrail Pro), plastic frame, plastic back",,Realme,,,,"Black, Blue","IPS LCD, 90Hz, 480 nits (typ)",AnTuTu: 229368 (v8)GeekBench: 1581 (v5),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
CDMA 800,,"Android 12, upgradable to Android 13, Realme UI 4.0",No,-26.3 LUFS (Good),Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),,"Available. Released 2022, January 08","HDR, panorama",€ 232.72,778 nits max brightness (measured),,,,,,,,No,"65W wired, 100% in 33 min","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 66 - International",Photo/Video,,,"€ 232.72 / £ 428.21 / ₹ 26,990",Splash resistant,,"32 MP, f/2.4, 26mm (wide), 1/2.74"", 0.8µm",GSM 850 / 900 / 1800 / 1900,"1440 x 3216 pixels, 20:9 ratio (~526 ppi density)",,"2022, January 04",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,1.16 W/kg (head)     0.53 W/kg (body),Adreno 730,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt2-pro.jpg,"6.7 inches, 108.0 cm2(~88.6% screen-to-body ratio)",Realme GT2 Pro,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS, NavIC",,5000 mAh,,"Color spectrum sensor, Dual-LED dual-tone flash, HDR, panorama",Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 42, 66 - China, India",Nano-SIM + Nano-SIM,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS50 MP, f/2.2, 15mm, 150˚ (ultrawide), 1/2.76"", 0.64µm3 MP, f/3.3, 20mm (microscope), AF, 40x magnification",,Endurance rating 117h,No,Corning Gorilla Glass Victus,,163.2 x 74.7 x 8.2 mm (6.43 x 2.94 x 0.32 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","USB Type-C 2.0, OTG","RMX3301, RMX3300",,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD",,,189 / 199 g (6.67 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","HSPA, LTE, 5G",Yes (dual side),,24-bit/192kHz Hi-Res audio,Realme,,€ 305.92,,"Paper White, Paper Green, Steel Black, Titanium Blue","LTPO2 AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 1400 nits (peak)",AnTuTu: 966251 (v9)GeekBench: 3501 (v5.1)GFXBench: 48fps (ES 3.1 onscreen),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,UFS 3.1,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 12, Realme UI 3.0",No,-26.8 LUFS (Good),Qualcomm SM8350 Snapdragon 888 5G (5 nm),,"Available. Released 2022, January 08","HDR, panorama",,846 nits max brightness (measured),,,,,,,,No,"65W wired, 100% in 33 min","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International",Photo/Video,,,About 790 EUR,"1, 3, 5, 7, 8, 20, 28, 41, 77, 78 SA/NSA - China",,"16 MP, f/2.5, 26mm (wide), 1/3"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~398 ppi density)",,"2022, January 04",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 660,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt2.jpg,"6.62 inches, 105.8 cm2(~85.7% screen-to-body ratio)",Realme GT2,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,5000 mAh,,"Color spectrum sensor, Dual-LED dual-tone flash, HDR, panorama",Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41 - China",Nano-SIM + Nano-SIM,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS8 MP, f/2.2, 119˚ (ultrawide)2 MP, f/2.4, (macro)",,Endurance rating 115h,No,Corning Gorilla Glass 5,,162.9 x 75.8 x 8.6 mm (6.41 x 2.98 x 0.34 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, OTG","RMX3310, RMX3312, RMX3311",,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD",,,194.5 / 199.8 g (6.88 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps, gyro-EIS","HSPA, LTE, 5G",Yes,"Glass front (Gorilla Glass 5), plastic frame",24-bit/192kHz Hi-Res audio,Realme,,,,"Paper White, Paper Green, Steel Black, Titanium Blue","AMOLED, 120Hz, HDR10+, 1300 nits (peak)",AnTuTu: 810512 (v9)GeekBench: 3487 (v5.1)GFXBench: 56fps (ES 3.1 onscreen),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,UFS 3.1,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 11, Realme UI 2.0",Yes,,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),,"Available. Released 2021, November 15","HDR, panorama",,,,,,,,,,No,"30W wired, 50% in 25 min",LTE,,,,About 290 EUR,,,"16 MP, f/2.1, 26mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~400 ppi density)",,"2021, November 10",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 642L,,https://fdn2.gsmarena.com/vv/bigpic/realme-q3s.jpg,"6.6 inches, 104.8 cm2",Realme Q3t,,,,SA/NSA,"GPS, GLONASS, BDS, GALILEO, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,"48 MP, f/1.8, 26mm (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,Unspecified,,,-,,256GB 8GB RAM,"USB Type-C 2.0, OTG",,,Yes,"5.2, A2DP, LE",,,-,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps","HSPA, LTE, 5G",No,,,Realme,,,,"Aurora, Dark Blue","IPS LCD, 144Hz, 600 nits",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 11, Realme UI 2.0",Yes,,Mediatek Dimensity 1200 (6 nm),,"Available. Released 2021, November 01","HDR, panorama",,,,,,,,,,No,65W wired5W reverse wired,"1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41",,,,About 260 EUR,24-bit/192kHz Hi-Res audio,,"16 MP, f/2.5, 26mm (wide), 1/3.1"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,"2021, October 19",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Mali-G77 MC9,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt-neo2t.jpg,"6.43 inches, 99.8 cm2(~85.9% screen-to-body ratio)",Realme GT Neo2T,,,,"1, 28, 40, 41, 77, 78, 79 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,4500 mAh,,"Dual-LED dual-tone flash, HDR, panorama",Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,UFS 3.1,Nano-SIM + Nano-SIM,"64 MP, f/1.8, 26mm (wide), 1/2.0"", 0.7µm, PDAF8 MP, f/2.3, 16mm, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,,No,,,158.5 x 73.3 x 8.4 mm (6.24 x 2.89 x 0.33 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, OTG",RMX3357,,"Yes, with stereo speakers","5.1, A2DP, LE, aptX HD",,,186 g (6.56 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30/60fps, 1080p@30/60/480fps, gyro-EIS","HSPA, LTE, 5G",Yes,"Glass front, plastic frame, plastic back",,Realme,,,,"Black, White","Super AMOLED, 120Hz, 1000 nits (peak)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 11, Realme UI 2.0",Yes,,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),,"Available. Released 2021, November 01","HDR, panorama",,,,,,,,,,No,"30W wired, 50% in 25 min","1, 3, 4, 5, 7, 8, 19, 28, 34, 38, 39, 40, 41",,,,About 200 EUR,,,"16 MP, f/2.1, 26mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~401 ppi density)",,"2021, October 19",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 642L,,https://fdn2.gsmarena.com/vv/bigpic/realme-q3s.jpg,"6.6 inches, 104.3 cm2(~83.7% screen-to-body ratio)",Realme Q3s,,,,"1, 28, 41, 77, 78 SA/NSA","GPS, GLONASS, BDS, GALILEO, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,"48 MP, f/1.8, 26mm (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,microSDXC (dedicated slot),,,164.4 x 75.8 x 8.5 mm (6.47 x 2.98 x 0.33 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG",,,Yes,"5.2, A2DP, LE",,,199 g (7.02 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps","HSPA, LTE, 5G",No,,,Realme,,,,"Aurora, Dark Blue","IPS LCD, 144Hz, 600 nits",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
50m water resistant5 ATM,,Proprietary OS,No,,,,"Available. Released 2021, November 01",,,,,,,,,No,No,No,,N/A,,,,About 90 EUR,,,,N/A,416 x 416 pixels (~453 ppi density),,"2021, October 19",No cellular connectivity,eMMC 4.5,,,,https://fdn2.gsmarena.com/vv/bigpic/realme-watch-t1.jpg,1.3 inches,Realme Watch T1,,,,,"GPS, GLONASS, GALILEO, BDS",,Li-Ion 228 mAh,,,,,No,No,,,,No,,,43.5 x 43.5 x 10.2 mm (1.71 x 1.71 x 0.40 in),,,No,,,No,"5.0, A2DP, LE",,,-,No,,No,Yes,,,Realme,,,,Black,AMOLED,,N/A,,,"Accelerometer, heart rate"
,,"Android 11, Realme UI 2.0",Yes,,Mediatek MT6769Z Helio G85 (12 nm),,"Available. Released 2021, October 07","HDR, panorama",,,,,,,,,,Unspecified,18W wired5W reverse wired,"1, 3, 5, 8, 38, 40, 41",,,,About 130 EUR,,,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2021, September 24",GSM / HSPA / LTE,,,Mali-G52 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-50a.jpg,"6.5 inches, 102.0 cm2(~81.7% screen-to-body ratio)",Realme Narzo 50A,,,,,"GPS, GLONASS, BDS",,6000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,microSDXC (dedicated slot),,,164.5 x 75.9 x 9.6 mm (6.48 x 2.99 x 0.38 in),,"64GB 4GB RAM, 128GB 4GB RAM","USB Type-C 2.0, OTG",RMX3430,,Yes,"5.0, A2DP, LE",,,207 g (7.30 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,"HSPA, LTE",No,,,Realme,,,,"Oxygen Blue, Oxygen Green","IPS LCD, 570 nits (HBM)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
Splash-resistant design,"5 MP, f/2.2, (wide)","Android 11, Realme Go UI",Yes,,,,"Available. Released 2021, October 07",HDR,,,,,,,,,,Unspecified,Reverse wired,"1, 3, 5, 8, 38, 40, 41",,,,About 90 EUR,,,"8 MP, f/2.0, (wide), AF",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2021, September 24",GSM / HSPA / LTE,,,IMG8322,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-50i.jpg,"6.5 inches, 102.0 cm2(~80.8% screen-to-body ratio)",Realme Narzo 50i,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core 1.6 GHz,,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,165.2 x 76.4 x 8.9 mm (6.50 x 3.01 x 0.35 in),,"32GB 2GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG",RMX3235,,Yes,"4.2, A2DP",,,195 g (6.88 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,,,Realme,,,,"Carbon Black, Mint Green","IPS LCD, 400 nits (typ)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Accelerometer, gyro, proximity, compass"
