Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
LED flash,Quad-core 1.2 GHz,No,,,Up to 800 h,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP, EDR, LE",,,,,,,Yes,,"Dual SIM, (Mini-SIM, dual stand-by)",,"5 MP, AF",150.8 g (5.29 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Up to 13 h,microSDHC (dedicated slot),,,HSPA 42.2/5.76 Mbps,No,,"2013, October. Released 2013, October",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w6500.jpg,"4.3 inches, 51.0 cm2(~60.0% screen-to-body ratio)",Philips W6500,,,Yellow,TFT,,,128.7 x 66 x 11.8 mm (5.07 x 2.60 x 0.46 in),4GB,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 2400 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.2 GHz,,,Yes,Up to 500 h,,Android 4.2 (Jelly Bean),Yes,"2.1, A2DP, EDR",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,3.15 MP,137 g (4.83 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 13 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2013, October. Released 2013, October",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w3568.jpg,"4.0 inches, 45.5 cm2(~52.8% screen-to-body ratio)",Philips W3568,,,Black/Gray,"TFT, 256K colors",,,126.8 x 68 x 12 mm (4.99 x 2.68 x 0.47 in),4GB 512MB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity",
,Dual-core 1.2 GHz,No,,,Up to 420 h,,Android 4.2 (Jelly Bean),Yes,"2.1, A2DP, EDR",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,2 MP,137 g (4.83 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 15 h,microSDHC (dedicated slot),,,HSPA,No,,"2013, October. Released 2013, October",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-t3566.jpg,"4.0 inches, 45.5 cm2(~52.8% screen-to-body ratio)",Philips T3566,,,Black,TFT,,Class 12,126.8 x 68 x 12 mm (4.99 x 2.68 x 0.47 in),256MB RAM,2.0,Yes,No,No,HSDPA,,,Yes,"Li-Ion 2000 mAh, removable",,Accelerometer,
LED flash,Dual-core 1.2 GHz,,,Yes,,,Android 4.0.4 (Ice Cream Sandwich),Yes,"3.0, A2DP",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"5 MP, AF",172 g (6.07 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Up to 10 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2013, October. Released 2013, October",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w7376.jpg,"4.3 inches, 51.0 cm2(~59.2% screen-to-body ratio)",Philips W7376,,,Black/Silver,TFT,,,129 x 66.7 x 9.9 mm (5.08 x 2.63 x 0.39 in),4GB,microUSB 2.0,,GPS,No,HSDPA 850 / 2100,,,Yes,"Li-Ion 2400 mAh, removable",,Accelerometer,
,,Flashlight,,,Up to 2400 h,,,Yes,"2.1, A2DP",No,,,MP3/AAC playerPhoto viewerOrganizerPredictive text input,,,TBD,,Dual SIM (Mini-SIM),,,122 g (4.30 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 40 h,microSDHC (dedicated slot),,,,No,,"2013, October. Released 2013, October",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x1560.jpg,"2.4 inches, 17.8 cm2(~29.2% screen-to-body ratio)",Philips X1560,,"SMS, MMS",Black,"TFT, 256K colors",Yes,Class 12,119.6 x 51.1 x 16.3 mm (4.71 x 2.01 x 0.64 in),,microUSB,No,No,FM radio,,,,,"Li-Ion 2900 mAh, removable",,,No
,,Flashlight,,,Up to 1128 h,,,Yes,"2.1, A2DP",Yes,,,MP3 playerSOS keyPredictive text input,,,No,,Dual SIM (Mini-SIM),,VGA,108.8 g (3.81 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 24 h,microSDHC (dedicated slot),,,,No,,"2013, October. Released 2013, October",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x2560.jpg,"2.4 inches, 17.8 cm2(~22.1% screen-to-body ratio)",Philips X2560,,"SMS, MMS",Black,"TFT, 256K colors",Yes,Class 12,124.5 x 64.9 x 16 mm (4.90 x 2.56 x 0.63 in),,miniUSB,No,No,FM radio,,,,Yes,"Li-Ion 1630 mAh, removable",,,No
,,Flashlight,,,Up to 850 h,,,Yes,2.0,Yes,,,MP3 playerSOS keyPredictive text input,,,Yes,,Dual SIM (Mini-SIM),,VGA,104 g (3.67 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,,No,,"2013, October. Released 2013, October",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x2301-1.jpg,"2.4 inches, -, 17.8 cm2(~23.8% screen-to-body ratio)",Philips X2301,,"SMS, MMS",Gray,"TFT, 256K colors",Yes,Class 10,134 x 56 x 14.8 mm (5.28 x 2.20 x 0.58 in),,miniUSB,No,No,FM radio,,,,Yes,"Li-Ion 1530 mAh, removable",,,No
LED flash,,No,,,Up to 720 h,,,Yes,"2.1, A2DP",Yes,,,,,,Yes,,Triple SIM (Mini-SIM),,2 MP,110 g (3.88 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,No,,"2013, October. Released 2013, October",,GSM,MP3/WAV/MP4/H.263 playerOrganizerPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x2300-1.jpg,"2.4 inches, 17.8 cm2(~29.5% screen-to-body ratio)",Philips X2300,,"SMS, MMS",Dark gray,"TFT, 256K colors",Yes,Class 12,119.6 x 50.5 x 15.7 mm (4.71 x 1.99 x 0.62 in),,microUSB 2.0,No,No,FM radio,,,,Yes,"Li-Ion 2000 mAh, removable",,,No
,,No,,,Up to 850 h,,,Yes,"2.1, A2DP",Yes,,,,,,No,,Dual SIM (Mini-SIM),,,78 g (2.75 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,176 x 220 pixels (~141 ppi density),Up to 8 h 30 min,microSDHC (dedicated slot),,,,No,,"2013, October. Released 2013, October",,GSM,MP3 playerOrganizerPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x1510-1.jpg,"2.0 inches, 12.6 cm2(~25.1% screen-to-body ratio)",Philips X1510,,"SMS, MMS",Black,TFT,Yes,Class 12,109 x 46 x 15.8 mm (4.29 x 1.81 x 0.62 in),,microUSB 2.0,No,No,FM radio,,,,,"Li-Ion 1050 mAh, removable",,,No
,,No,,,Up to 666 h,,,Yes,"2.1, A2DP",No,,,,,,Yes,,Dual SIM (Mini-SIM),,,70 g (2.47 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,128 x 160 pixels (~116 ppi density),Up to 6 h 40 min,microSDHC (dedicated slot),,,,No,,"2013, October. Released 2013, October",,GSM,MP3 playerOrganizerPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-e1500-1.jpg,"1.77 inches, 9.9 cm2(~20.0% screen-to-body ratio)",Philips E1500,,"SMS, MMS",Black,TFT,Yes,Yes,107 x 46 x 15 mm (4.21 x 1.81 x 0.59 in),,microUSB,No,No,FM radio,,,,,"Li-Ion 800 mAh, removable",,,No
LED flash,Dual-core 1.0 GHz,CDMA 800 / 1900,,,Up to 300 h,,Android 4.0 (Ice Cream Sandwich),Yes,"3.0, A2DP",,,,,,,Yes,,Dual SIM (Dual stand-by),,"5 MP, AF",163 g (5.75 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Up to 17 h,microSDHC (dedicated slot),,,EV-DO Rev.A 3.1 Mbps,No,,"2013, October. Released 2013, October",,GSM / CDMA / EVDO,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d833-1.jpg,"4.3 inches, 52.6 cm2(~61.1% screen-to-body ratio)",Philips D833,,,Black/Gray,IPS LCD,,,128 x 67.3 x 12.1 mm (5.04 x 2.65 x 0.48 in),4GB,microUSB 2.0,,GPS,No,CDMA2000 1xEV-DO,,,480p,"Li-Ion 2400 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.5 GHz Cortex-A7,,,1.3 MP,Up to 720 h,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP, LE",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"13 MP, AF",158 g (5.57 oz),Mediatek MT6589 (28 nm),,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Up to 18 h,microSDHC (dedicated slot),,,HSPA 21.1/11.5 Mbps,No,,"2013, September. Released 2013, October",,GSM / HSPA,,,,Philips,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/philips-w8560.jpg,"5.0 inches, 68.9 cm2(~65.6% screen-to-body ratio)",Philips W8560,,,Black,TFT,,,144 x 73 x 10 mm (5.67 x 2.87 x 0.39 in),32GB 2GB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 3300 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.2 GHz Cortex-A7,,,Yes,Up to 860 h,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP, LE",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"8 MP, AF",173 g (6.10 oz),Mediatek MT6589 (28 nm),,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Up to 18 h,microSDHC (dedicated slot),,,HSPA 42.2/5.76 Mbps,No,,"2013, October. Released 2013, October",,GSM / HSPA,,,,Philips,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/philips-w8510.jpg,"4.7 inches, 60.9 cm2(~63.1% screen-to-body ratio)",Philips W8510,,,Gray,TFT,,,138.5 x 69.7 x 10.4 mm (5.45 x 2.74 x 0.41 in),4GB,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 3300 mAh, removable",,"Accelerometer, proximity",
LED flash,1.0 GHz,No,,,,,Android 4.0 (Ice Cream Sandwich),Yes,"2.1, A2DP, EDR",,,,,,,Yes,,Dual SIM,,"5 MP, AF",239.5 g (8.43 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~292 ppi density)",,microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,No,,"2013, September. Released 2013, September",,GSM,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-t939.jpg,"3.2 inches, 29.1 cm2(~45.8% screen-to-body ratio)",Philips T939,,,Black,"Dual TFT, 256K colors",,Yes,110 x 57.8 x 22 mm (4.33 x 2.28 x 0.87 in),4GB 512MB RAM,2.0,Yes,GPS,No,TD-SCDMA,,,480p@30fps,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.2 GHz,ISDB-T mobile TV,,Yes,Up to 571 h (2G) / Up to 400 h (3G),,Android 4.1 (Jelly Bean),Yes,"3.0, A2DP",,,,,,,Yes,,Yes,,"5 MP, AF",-,,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900,,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Up to 14 h 20 min (2G) / Up to 8 h 40 min (3G),microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2013, September. Released 2013, September",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w6360.jpg,"4.3 inches, 52.6 cm2",Philips W6360,,,Dark gray,TFT,,,-,,microUSB 2.0,,GPS,No,HSDPA 850 / 1900,,,480p@30fps,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity",
,1.0 GHz,,,,Up to 465 h (2G) / Up to 326 h (3G),,Android 4.1 (Jelly Bean),Yes,"3.0, A2DP",,,,,,,Yes,,Yes,,5 MP,138.8 g (4.87 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 11 h 40 min (2G) / Up to 7 h (3G),microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2013, September. Released 2013, September",,GSM / HSPA,ISDB-T mobile TV,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w5510.jpg,"3.5 inches, 36.5 cm2(~49.8% screen-to-body ratio)",Philips W5510,,,Dark gray,TFT,,,116.2 x 63 x 13 mm (4.57 x 2.48 x 0.51 in),,microUSB 2.0,,GPS,No,HSDPA 850 / 1900,,,480p@30fps,"Li-Ion 1630 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.0 GHz Cortex-A5,,,2 MP,Up to 742 h,,Android 4.0.4 (Ice Cream Sandwich),Yes,"4.0, A2DP",,,,,,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",224.5 g (7.90 oz),Qualcomm MSM8225 Snapdragon S4 Play,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~208 ppi density)",Up to 13 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2013, January. Released 2013, March",,GSM / HSPA,,,,Philips,,Adreno 203,https://fdn2.gsmarena.com/vv/bigpic/philips-w8355.jpg,"5.3 inches, 77.4 cm2(~66.4% screen-to-body ratio)",Philips W8355,,,Black,TFT,,,147.6 x 79 x 10.9 mm (5.81 x 3.11 x 0.43 in),4GB 512MB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 3000 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.0 GHz Cortex-A9,,,Yes,Up to 683 h (3G),,Android 4.0 (Ice Cream Sandwich),Yes,"2.1, A2DP, EDR",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"8 MP, AF",170.5 g (6.00 oz),Mediatek MT6577 (40 nm),,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Up to 11 h (3G),microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2012, November. Released 2012, November",,GSM / HSPA,,,,Philips,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/philips-w832.jpg,"4.5 inches, 55.8 cm2(~63.1% screen-to-body ratio)",Philips W832,,,Grey,IPS LCD,,,131 x 67.5 x 11 mm (5.16 x 2.66 x 0.43 in),4GB (2GB user available),microUSB 2.0,,GPS,No,HSDPA 2100,,,Yes,"Li-Ion 2400 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.2 GHz Cortex-A5,,,Yes,,,Android 4.0.4 (Ice Cream Sandwich),Yes,"3.0, A2DP",,,,,,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",172 g (6.07 oz),Qualcomm MSM8225 Snapdragon S4 Play,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Up to 10 h 30 min (3G),microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2012, December. Released 2012, December",,GSM / HSPA,,,,Philips,,Adreno 203,https://fdn2.gsmarena.com/vv/bigpic/philips-w737.jpg,"4.3 inches, 51.0 cm2(~61.3% screen-to-body ratio)",Philips W737,,,Black,TFT,,,128 x 65 x 9.9 mm (5.04 x 2.56 x 0.39 in),4GB (3GB user available),microUSB 2.0,,GPS,No,HSDPA 850 / 2100,,,480p@15fps,"Li-Ion 2400 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.0 GHz Cortex-A9,,,Yes,Up to 667 h (3G),,Android 4.0 (Ice Cream Sandwich),Yes,"2.1, A2DP, EDR",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"5 MP, AF",167.5 g (5.89 oz),Mediatek MT6577 (40 nm),,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 11 h (3G),microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2012, November. Released 2012, November",,GSM / HSPA,,,,Philips,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/philips-w736.jpg,"4.0 inches, 45.5 cm2(~55.0% screen-to-body ratio)",Philips W736,,,Grey,TFT,,,126.6 x 65.4 x 12.1 mm (4.98 x 2.57 x 0.48 in),4GB (2GB user available),microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 2400 mAh, removable",,"Accelerometer, proximity",
LED flash,,,,,Up to 168 h,,Android 2.3 (Gingerbread),Yes,"2.1, A2DP, EDR",,,,,,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",154 g (5.43 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 12 h 30 min,microSDHC (dedicated slot),,,HSPA,No,,"2012, November. Released 2012, November",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w6350.jpg,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",Philips W6350,,,"Black, White",TFT,,,125.2 x 63.9 x 11.5 mm (4.93 x 2.52 x 0.45 in),512MB,2.0,,GPS,No,HSDPA 850 / 2100,,,480p@30fps,"Li-Ion 1630 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.0 GHz Cortex-A9,,,Yes,Up to 407 h,,Android 4.0 (Ice Cream Sandwich),Yes,"2.1, A2DP, EDR",,,,,,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",141 g (4.97 oz),Mediatek MT6577 (40 nm),,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 17 h (2G) / Up to 11 h (3G),microSDHC (dedicated slot),,,HSPA,No,,"2012, November. Released 2012, November",,GSM / HSPA,,,,Philips,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/philips-w536.jpg,"4.0 inches, 45.5 cm2(~55.0% screen-to-body ratio)",Philips W536,,,Grey,TFT,,,127.5 x 65 x 11.5 mm (5.02 x 2.56 x 0.45 in),4GB (2GB user available),microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,480p@30fps,"Li-Ion 1630 mAh, removable",,"Accelerometer, proximity",
,,,,Yes,Up to 385 h,,Android 2.3 (Gingerbread),Yes,"3.0, A2DP, EDR",,,,,,,Yes,,Dual SIM (Mini-SIM),,2 MP,108.3 g (3.81 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2012, November. Released 2012, November",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w337.jpg,"3.2 inches, 29.1 cm2(~49.7% screen-to-body ratio)",Philips W337,,,Black,TFT,,,107.3 x 54.6 x 12.8 mm (4.22 x 2.15 x 0.50 in),512MB,microUSB 2.0,,GPS,No,HSDPA 850 / 1900,,,480p@30fps,"Li-Ion 1350 mAh, removable",,"Accelerometer, proximity",
,,No,,,Up to 240 h,,Android 2.3 (Gingerbread),Yes,Yes,,,,,,,Yes,,Dual SIM (Mini-SIM),,5 MP,-,,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,HSPA,No,,"2012, November. Released 2012, November",,GSM,CMMB mobile TV,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-t539.jpg,"4.3 inches, 52.6 cm2(~59.1% screen-to-body ratio)",Philips T539,,,Black/Gold,"TFT, 256K colors",,Class 12,131 x 68 x 11.2 mm (5.16 x 2.68 x 0.44 in),512MB,2.0,Yes,GPS,No,TD-SCDMA,,,480p,"Li-Ion 1630 mAh, removable",,"Accelerometer, proximity",
,,No,,,Up to 727 h,,,Yes,"2.0, A2DP",Yes,,,,,,Yes,QWERTY,Dual SIM (Mini-SIM),,VGA,-,,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"320 x 240 pixels, 4:3 ratio (~182 ppi density)",Up to 6 h 40 min,microSDHC (dedicated slot),,,,No,,"2012, November. Released 2012, November",,GSM,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-e133.jpg,"2.2 inches, 15.0 cm2(~23.4% screen-to-body ratio)",Philips E133,,"SMS(threaded view), MMS, Email",Black,TFT,"Yes, Photocall",Class 12,105 x 61 x 13.6 mm (4.13 x 2.40 x 0.54 in),0,miniUSB 2.0,No,No,FM radio,,,,176x144@10fps,"Li-Ion 800 mAh, removable",,,Yes
LED flash,1.0 GHz Cortex-A9,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerDocument viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,,Yes,Up to 800 h,,Android 4.0 (Ice Cream Sandwich),Yes,"2.1, EDR",,,,,,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",168.9 g (5.93 oz),Mediatek MT6575 (40 nm),,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Up to 13 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,,,"2012, July. Released 2012, July",,GSM / HSPA,,,,Philips,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/philips-w732.jpg,"4.3 inches, 52.6 cm2(~61.9% screen-to-body ratio)",Philips W732,,,Gray,"IPS LCD, 256K colors",,,126.4 x 67.3 x 12.3 mm (4.98 x 2.65 x 0.48 in),2GB,2.0,,"GPS, A-GPS",No,HSDPA 2100,,,480p,Removable Li-Ion 2400 mAh battery,,"Accelerometer, proximity, compass",
,,No,,,Up to 1200 h,,,Yes,"2.1, A2DP",Yes,,,,,,Yes,,Dual SIM (Mini-SIM),,3.15 MP,118.5 g (4.16 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 16 h,microSDHC (dedicated slot),,,,,,"2012, July. Released 2012, July",,GSM,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x333.jpg,"2.4 inches, 17.8 cm2(~29.5% screen-to-body ratio)",Philips X333,,"SMS(threaded view), MMS, Email",Champion Black/Grey,"TFT, 256K colors","Yes, Photocall",Class 12,119.5 x 50.6 x 15.8 mm (4.70 x 1.99 x 0.62 in),40MB,2.0,Yes,No,"Stereo FM radio, RDS",,,,QCIF,Removable Li-Ion 2000 mAh battery,,,Yes
,800 MHz Cortex-A9,,,,,,Android 2.3 (Gingerbread),Yes,"2.1, A2DP",,,,,,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",250 g (8.82 oz),Mediatek MT6573 (65 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Up to 9 h,"microSDHC (dedicated slot), 4 GB included",,,HSPA 3.6/0.384 Mbps,,,"2012, July. Released 2012, July",,GSM / HSPA,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerDocument viewerOrganizerVoice memoPredictive text input,,,Philips,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/philips-w930.jpg,"3.2 inches, 30.5 cm2(~48.0% screen-to-body ratio)",Philips W930,,,Black/Gold,"Dual TFT, 256K colors",,,110 x 57.8 x 22 mm (4.33 x 2.28 x 0.87 in),100MB,2.0,,GPS,FM radio,HSDPA 2100,,,480p,Removable Li-Ion 2000 mAh battery,,"Accelerometer, proximity",
